vars.context,vars.question,assert[0].type,assert[0].value
"SQL queries databases.",What is SQL used for?,contains,databases
"Java is object oriented.",What type is Java?,contains,object-oriented
"CSS styles web pages.",What styles web pages?,contains,CSS
"HTML structures pages.",What structures pages?,contains,HTML
"Earth revolves Sun.",What does Earth revolve around?,contains,Sun
"Moon is satellite.",What is Moon?,contains,satellite
"Paris is capital France.",What is capital France?,contains,Paris
"Tokyo is capital Japan.",What is capital Japan?,contains,Japan
"Agra has Taj Mahal.",Where is Taj Mahal?,contains,Agra
"China has Great Wall.",Where is Great Wall?,contains,China
"Amazon is largest rainforest.",Which is largest rainforest?,contains,Amazon
"Venus is hottest planet.",Which is hottest planet?,contains,Venus
"Oxygen is essential gas.",Which gas is essential?,contains,Oxygen
"Photosynthesis makes food.",How do plants prepare food?,contains,photosynthesis
"Speed of light is 300000 km/s.",What is speed of light?,contains,300000
"Einstein proposed relativity.",Who proposed relativity?,contains,Einstein
"The sky is blue.",What color is the sky?,contains,blue
"Dogs are loyal animals.",What are dogs?,contains,loyal
"Honey is produced by bees.",Who produces honey?,contains,bees
"Iron rusts in moisture.",What happens to iron?,contains,rusts
"The heart pumps blood.",What does the heart pump?,contains,blood
"Clouds are made of water vapor.",What are clouds made of?,contains,water vapor
"Trees provide oxygen.",What do trees provide?,contains,oxygen
"The Sahara is a hot desert.",What kind of desert is Sahara?,contains,hot
"Cats are independent pets.",What are cats?,contains,independent
"Water is H2O.",What is the chemical formula for water?,contains,H2O
